Municipality Name ;Població;Superfície km²;Population Density;Rang per nombre d'hab.
Barcelona;1636732;101,4;16149,3;1
Hospitalet de Llobregat, l';264657;12,4;21343,3;2
Terrassa;223011;70,2;3178,6;3
Badalona;223006;21,2;10529,1;4
Sabadell;216204;37,8;5721,2;5
Lleida;140080;212,3;659,8;6
Tarragona;135436;57,9;2339,9;7
Mataró;129120;22,5;5731,0;8
Santa Coloma de Gramenet;119289;7,0;17041,3;9
Reus;106084;52,8;2008,4;10
Girona;101932;39,1;2605,6;11
Sant Cugat del Vallès;94012;48,2;1949,2;12
Cornellà de Llobregat;89300;7,0;12775,4;13
Sant Boi de Llobregat;83755;21,5;3901,0;14
Rubí;78549;32,3;2431,9;15
Manresa;78192;41,7;1877,4;16
Vilanova i la Geltrú;67458;34,0;1984,6;17
Castelldefels;67226;12,9;5223,5;18
Viladecans;66707;20,4;3269,1;19
Prat de Llobregat, el;65532;31,4;2086,3;20
Granollers;62475;14,9;4201,4;21
Cerdanyola del Vallès;57217;30,6;1872,3;22
Mollet del Vallès;51151;10,8;4749,4;23
Vic;47319;30,6;1547,4;24
Figueres;47043;19,3;2437,5;25
Gavà;46931;30,8;1526,2;26
Esplugues de Llobregat;46777;4,6;10168,9;27
Sant Feliu de Llobregat;45463;11,8;3846,3;28
Igualada;40875;8,1;5040,1;29
Blanes;40274;17,7;2280,5;30
Vilafranca del Penedès;39969;19,6;2034,1;31
Ripollet;39139;4,3;9039,0;32
Vendrell, el;38891;36,8;1056,8;33
Lloret de Mar;38402;48,7;788,4;34
Sant Adrià de Besòs;37283;3,8;9760,0;35
Montcada i Reixac;36794;23,5;1567,7;36
Olot;36299;29,0;1250,4;37
Cambrils;35064;35,2;995,9;38
Sant Joan Despí;34130;6,2;5531,6;39
Tortosa;33572;218,5;153,6;40
Barberà del Vallès;33016;8,3;3973,0;41
Salt;32230;6,6;4853,9;42
Sant Pere de Ribes;31525;40,8;772,7;43
Sitges;30217;43,9;689,1;44
Martorell;28667;12,8;2246,6;45
Premià de Mar;28523;2,1;13518,0;46
Salou;28512;15,1;1884,5;47
Calafell;28463;20,4;1396,6;48
Sant Vicenç dels Horts;28115;9,1;3082,8;49
Pineda de Mar;27974;10,7;2604,7;50
Sant Andreu de la Barca;27175;5,5;4940,9;51
Molins de Rei;26104;15,9;1637,6;52
Santa Perpètua de Mogoda;26033;15,8;1644,5;53
Castellar del Vallès;24659;44,9;549,1;54
Valls;24553;55,3;444,2;55
Olesa de Montserrat;24132;16,6;1451,1;56
Masnou, el;23848;3,4;7034,8;57
Palafrugell;23046;26,9;857,4;58
Vila-seca;22522;21,6;1040,8;59
Esparreguera;22358;27,4;816,0;60
Sant Feliu de Guíxols;22210;16,2;1368,5;61
Amposta;21317;138,3;154,1;62
Vilassar de Mar;20936;4,0;5234,0;63
Manlleu;20804;17,2;1207,4;64
Franqueses del Vallès, les;20351;29,1;698,4;65
Banyoles;20168;11,1;1825,2;66
Sant Quirze del Vallès;20156;14,1;1432,6;67

